temp_appcoldstartmsg.eventname,temp_appcoldstartmsg.sessionid,temp_appcoldstartmsg.eventtime,temp_appcoldstartmsg.appkey,temp_appcoldstartmsg.deviceid,temp_appcoldstartmsg.idfa,temp_appcoldstartmsg.channel,temp_appcoldstartmsg.appbundle,temp_appcoldstartmsg.appversion,temp_appcoldstartmsg.appbuildversion,temp_appcoldstartmsg.systemname,temp_appcoldstartmsg.systemversion,temp_appcoldstartmsg.avalibledisk,temp_appcoldstartmsg.totaldisk,temp_appcoldstartmsg.appmemory,temp_appcoldstartmsg.avaliblememory,temp_appcoldstartmsg.totalmemory,temp_appcoldstartmsg.batterylevel,temp_appcoldstartmsg.carrier,temp_appcoldstartmsg.devicemodel,temp_appcoldstartmsg.screenresolution,temp_appcoldstartmsg.serverip,temp_appcoldstartmsg.userip,temp_appcoldstartmsg.citycode,temp_appcoldstartmsg.messagesenttime,temp_appcoldstartmsg.currenttime,temp_appcoldstartmsg.dt
AppColdStart,9a558ab356ee56c01736ee550aed8379,1493367472581,gold_lede_android,860582030237503,NULL,tgwhuawei,NULL,3.2.0,58,android,23,30680.11M,55688.51M,35.45M,843.73M,2845.31M,73%,中国移动,PLK-AL10,1080*1812,114.113.198.179,117.12.233.181,120000,1493367471.961,1493367472,2017-04-28
AppColdStart,5a5332428f218b92d27082e41e9b7d46,1493364088732,gold_lede_android,860582030237503,NULL,tgwhuawei,NULL,3.2.0,58,android,23,30740.80M,55688.51M,33.39M,876.52M,2845.31M,86%,中国移动,PLK-AL10,1080*1812,114.113.198.179,117.12.233.181,120000,1493364088.794,1493364089,2017-04-28
AppColdStart,c329bd78036ddca1d6eca0742252d72d,1493363827155,gold_lede_android,860582030237503,NULL,tgwhuawei,NULL,3.2.0,58,android,23,30741.35M,55688.51M,30.76M,864.13M,2845.31M,88%,中国移动,PLK-AL10,1080*1812,114.113.198.179,117.12.233.181,120000,1493363827.152,1493363827,2017-04-28
AppColdStart,5e1fb63628d77dc6b793b80706f5ab93,1493362293015,gold_lede_android,860582030237503,NULL,tgwhuawei,NULL,3.2.0,58,android,23,30748.12M,55688.51M,30.90M,625.82M,2845.31M,67%,中国移动,PLK-AL10,1080*1812,114.113.198.179,117.12.233.181,120000,1493362293.014,1493362293,2017-04-28
AppColdStart,52ee31a502e7287e9d548f7d2eecddbc,1493360889511,gold_lede_android,860582030237503,NULL,tgwhuawei,NULL,3.2.0,58,android,23,30746.37M,55688.51M,31.07M,617.87M,2845.31M,42%,中国移动,PLK-AL10,1080*1812,114.113.198.179,117.12.233.181,120000,1493360889.529,1493360890,2017-04-28
AppColdStart,3ea1093d485f7cf4ce2fbbaa60a6c3a3,1493360670136,gold_lede_android,860582030237503,NULL,tgwhuawei,NULL,3.2.0,58,android,23,30747.20M,55688.51M,33.01M,780.74M,2845.31M,38%,中国移动,PLK-AL10,1080*1812,114.113.198.179,117.12.233.181,120000,1493360670.091,1493360670,2017-04-28
AppColdStart,c38b2a7c379db0906d856dc6f4c9d698,1493360411000,gold_lede_android,860582030237503,NULL,tgwhuawei,NULL,3.2.0,58,android,23,30747.23M,55688.51M,30.90M,798.29M,2845.31M,39%,中国移动,PLK-AL10,1080*1812,114.113.198.179,117.12.233.181,120000,1493360410.976,1493360411,2017-04-28
AppColdStart,b70fa8fbe1fba7207bb4be52d09a48d4,1493356866652,gold_lede_android,860582030237503,NULL,tgwhuawei,NULL,3.2.0,58,android,23,30765.29M,55688.51M,35.72M,992.61M,2845.31M,43%,中国移动,PLK-AL10,1080*1812,114.113.198.179,117.12.233.181,120000,1493356866.261,1493356866,2017-04-28
AppColdStart,125cd42b1be95e62ab7438cbbc168347,1493349633392,gold_lede_android,860582030237503,NULL,tgwhuawei,NULL,3.2.0,58,android,23,30775.42M,55688.51M,35.74M,1065.36M,2845.31M,67%,中国移动,PLK-AL10,1080*1812,114.113.198.179,117.12.233.181,120000,1493349632.673,1493349633,2017-04-28
AppColdStart,a5e08caf7a14f42bfb6b2f7f97312508,1493348754075,gold_lede_android,860582030237503,NULL,tgwhuawei,NULL,3.2.0,58,android,23,30776.22M,55688.51M,35.39M,962.99M,2845.31M,70%,中国移动,PLK-AL10,1080*1812,114.113.198.179,223.104.227.245,510100,1493348753.556,1493348753,2017-04-28
AppColdStart,cb2fa29a0d6f54cb555bb5765912ad47,1493338400645,gold_lede_android,860582030237503,NULL,tgwhuawei,NULL,3.2.0,58,android,23,30670.75M,55688.51M,25.95M,703.74M,2845.31M,95%,中国移动,PLK-AL10,1080*1812,114.113.198.179,117.12.233.181,120000,1493338400.303,1493338401,2017-04-28
AppColdStart,4bda2f1040089aeedc45b538803c5161,1493337267808,gold_lede_android,860582030237503,NULL,tgwhuawei,NULL,3.2.0,58,android,23,30668.65M,55688.51M,27.85M,1132.00M,2845.31M,91%,中国移动,PLK-AL10,1080*1812,114.113.198.179,117.12.233.181,120000,1493337267.666,1493337268,2017-04-28
AppColdStart,4a6ae14a0eb5dc8f13a1e1deb341e859,1493333540731,gold_lede_android,860582030237503,NULL,tgwhuawei,NULL,3.2.0,58,android,23,30674.84M,55688.51M,27.32M,1125.09M,2845.31M,93%,中国移动,PLK-AL10,1080*1812,114.113.198.179,117.12.233.181,120000,1493333540.217,1493333540,2017-04-28
AppColdStart,410b5efe6600ddeeae8881b37d27a309,1493331406366,gold_lede_android,860582030237503,NULL,tgwhuawei,NULL,3.2.0,58,android,23,30683.52M,55688.51M,25.81M,1182.76M,2845.31M,98%,中国移动,PLK-AL10,1080*1812,114.113.198.179,117.12.233.181,120000,1493331406.432,1493331406,2017-04-28
AppColdStart,2b4d28128a81ca5a201804e7dc930af0,1493330456542,gold_lede_android,860582030237503,NULL,tgwhuawei,NULL,3.2.0,58,android,23,30672.30M,55688.51M,27.67M,1292.75M,2845.31M,100%,中国移动,PLK-AL10,1080*1812,114.113.198.179,117.12.233.181,120000,1493330456.609,1493330457,2017-04-28
